house_id,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_above,sqft_basement,yr_built,zipcode,lat,long,sqft_living15,sqft_lot15,price,date,sales_year,sales_month,sales_day,sales_week
2202500290,4.0,1.0,1450.0,8800.0,1.0,4,7,1450.0,,1954,98006,47.5746,-122.135,1260.0,8942.0,435000.0,2014-05-02,2014,5,2,18
7853361370,4.0,2.5,3310.0,6500.0,2.0,3,8,3310.0,,2012,98065,47.515,-121.87,2380.0,5000.0,555000.0,2014-05-02,2014,5,2,18
7197300105,4.0,2.5,1940.0,10500.0,1.0,4,7,1140.0,800.0,1976,98052,47.683,-122.114,2200.0,10500.0,550000.0,2014-05-02,2014,5,2,18
3438501320,2.0,2.5,1630.0,1368.0,2.0,3,7,1280.0,350.0,2009,98106,47.5489,-122.363,1590.0,2306.0,295000.0,2014-05-02,2014,5,2,18
472000620,3.0,2.5,2600.0,4750.0,1.0,4,9,1700.0,900.0,1951,98117,47.6833,-122.4,2380.0,4750.0,790000.0,2014-05-02,2014,5,2,18
1024069009,5.0,2.5,2820.0,67518.0,2.0,3,8,2820.0,,1979,98029,47.5794,-122.025,2820.0,48351.0,675000.0,2014-05-02,2014,5,2,18
7305300695,4.0,2.5,2820.0,8408.0,2.0,3,9,2820.0,,2014,98155,47.7538,-122.325,1300.0,8408.0,625000.0,2014-05-02,2014,5,2,18
3221059036,4.0,2.5,3630.0,42884.0,1.5,3,9,2300.0,1330.0,1979,98092,47.2617,-122.19,2830.0,80148.0,400000.0,2014-05-02,2014,5,2,18
7525000080,3.0,1.75,2330.0,14892.0,1.0,3,8,1970.0,360.0,1980,98074,47.6267,-122.046,2570.0,14217.0,588500.0,2014-05-02,2014,5,2,18
7739100015,3.0,1.75,1710.0,7320.0,1.0,3,7,1710.0,,1948,98155,47.7512,-122.281,2260.0,8839.0,463000.0,2014-05-02,2014,5,2,18
6127600110,4.0,2.0,1520.0,6200.0,1.5,3,7,1520.0,,1945,98115,47.678,-122.269,1910.0,6200.0,640000.0,2014-05-02,2014,5,2,18
1525079056,3.0,1.75,1800.0,23103.0,1.0,3,7,1800.0,,1968,98014,47.6517,-121.906,1410.0,18163.0,284000.0,2014-05-02,2014,5,2,18
5100401414,2.0,1.0,880.0,6380.0,1.0,3,7,880.0,,1938,98115,47.6924,-122.322,1340.0,6380.0,490000.0,2014-05-02,2014,5,2,18
2771102144,3.0,3.25,1320.0,1327.0,2.0,3,8,1040.0,280.0,2008,98199,47.6506,-122.383,1440.0,1263.0,385000.0,2014-05-02,2014,5,2,18
943100683,3.0,2.25,1580.0,16215.0,1.0,4,7,1580.0,,1978,98024,47.5643,-121.897,1450.0,16215.0,335000.0,2014-05-02,2014,5,2,18
1818800144,3.0,2.5,2390.0,6550.0,1.0,4,8,1440.0,950.0,1955,98116,47.5714,-122.408,2010.0,6550.0,750000.0,2014-05-02,2014,5,2,18
1771000430,3.0,1.0,1160.0,9180.0,1.0,3,7,1160.0,,1968,98077,47.7427,-122.072,1160.0,10282.0,315000.0,2014-05-02,2014,5,2,18
3390600010,3.0,1.0,1090.0,6435.0,1.0,4,7,1090.0,,1955,98106,47.5334,-122.365,1340.0,6435.0,365000.0,2014-05-02,2014,5,2,18
1323089184,3.0,2.5,2430.0,88426.0,1.0,4,7,1570.0,860.0,1985,98045,47.4828,-121.718,1560.0,56827.0,452500.0,2014-05-02,2014,5,2,18
